Roster Month/Year,Rank,Start,End,Block Total,Flight,IATA_Origin,Latitude_Origin,Longitude_Origin,IATA_Destination,lat,lon,Aircraft Type
Jan-2019,CC,2019-01-04 16:09:00,2019-01-05 00:07:00,0 days 07:58:00.000000000,VS9,LHR,51.4706,-0.461941,JFK,40.63980103,-73.77890015,346
Jan-2019,CC,2019-01-06 03:10:00,2019-01-06 09:41:00,0 days 06:31:00.000000000,VS10,JFK,40.63980103,-73.77890015,LHR,51.4706,-0.461941,346
Jan-2019,CC,2019-01-10 10:07:00,2019-01-10 19:35:00,0 days 09:28:00.000000000,VS117,LHR,51.4706,-0.461941,MIA,25.79319953918457,-80.29060363769531,333
Jan-2019,CC,2019-01-11 23:06:00,2019-01-12 07:33:00,0 days 08:27:00.000000000,VS118,MIA,25.79319953918457,-80.29060363769531,LHR,51.4706,-0.461941,333
Jan-2019,CC,2019-01-17 22:30:00,2019-01-18 05:05:00,0 days 06:35:00.000000000,VS411,LHR,51.4706,-0.461941,LOS,6.5773701667785645,3.321160078048706,346
Jan-2019,CC,2019-01-19 09:55:00,2019-01-19 16:57:00,0 days 07:02:00.000000000,VS412,LOS,6.5773701667785645,3.321160078048706,LHR,51.4706,-0.461941,346
Jan-2019,CC,2019-01-23 14:35:00,2019-01-24 01:55:00,0 days 11:20:00.000000000,VS23,LHR,51.4706,-0.461941,LAX,33.94250107,-118.40799709999999,789
Jan-2019,CC,2019-01-26 04:24:00,2019-01-26 14:26:00,0 days 10:02:00.000000000,VS24,LAX,33.94250107,-118.40799709999999,LHR,51.4706,-0.461941,789
Feb-2019,CC,2019-02-05 16:45:00,2019-02-06 03:16:00,0 days 10:31:00.000000000,VS461,LHR,51.4706,-0.461941,JNB,-26.1392,28.246,789
Feb-2019,CC,2019-02-07 19:46:00,2019-02-08 07:03:00,0 days 11:17:00.000000000,VS462,JNB,-26.1392,28.246,LHR,51.4706,-0.461941,789
Feb-2019,CC,2019-02-12 20:03:00,2019-02-13 04:35:00,0 days 08:32:00.000000000,VS25,LHR,51.4706,-0.461941,JFK,40.63980103,-73.77890015,346
Feb-2019,CC,2019-02-14 04:51:00,2019-02-14 11:21:00,0 days 06:30:00.000000000,VS154,JFK,40.63980103,-73.77890015,LHR,51.4706,-0.461941,333
