Roster Month/Year,Start,End,Block Total,Flight,Origin,City_Origin,Country_Origin,Latitude_Origin,Longitude_Origin,Destination,City_Destination,Country_Destination,Latitude_Destination,Longitude_Destination,Aircraft Type,Rank
Nov-2012,2012-11-14 11:37:00,2012-11-14 22:54:00,0 days 11:17:00.000000000,VS7,LHR,London,United Kingdom,51.4706,-0.461941,LAX,Los Angeles,United States,33.94250107,-118.40799709999999,744,CC
Nov-2012,2012-11-17 02:55:00,2012-11-17 12:43:00,0 days 09:48:00.000000000,VS8,LAX,Los Angeles,United States,33.94250107,-118.40799709999999,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Nov-2012,2012-11-21 20:33:00,2012-11-22 04:32:00,0 days 07:59:00.000000000,VS17,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,343,CC
Nov-2012,2012-11-23 13:11:00,2012-11-23 20:06:00,0 days 06:55:00.000000000,VS18,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Nov-2012,2012-11-26 10:30:00,2012-11-26 18:54:00,0 days 08:24:00.000000000,VS29,LGW,London,United Kingdom,51.148102,-0.190278,BGI,Bridgetown,Barbados,13.0746002197,-59.492500305200004,744,CC
Nov-2012,2012-11-27 16:10:00,2012-11-27 17:05:00,0 days 00:00:00.000000000,LI727,BGI,Bridgetown,Barbados,13.0746002197,-59.492500305200004,GND,Point Salines,Grenada,12.004199981689453,-61.78620147705078,,CC
Nov-2012,2012-11-29 22:01:00,2012-11-29 22:40:00,0 days 00:39:00.000000000,VS52,GND,Point Salines,Grenada,12.004199981689453,-61.78620147705078,TAB,Scarborough,Trinidad and Tobago,11.149700164794922,-60.83219909667969,744,CC
Nov-2012,2012-11-29 00:03:00,2012-11-30 08:40:00,0 days 08:37:00.000000000,VS52,TAB,Scarborough,Trinidad and Tobago,11.149700164794922,-60.83219909667969,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Dec-2012,2012-12-03 12:59:00,2012-12-03 20:54:00,0 days 07:55:00.000000000,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744,CC
Dec-2012,2012-12-05 00:09:00,2012-12-05 07:11:00,0 days 07:02:00.000000000,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Dec-2012,2012-12-08 11:19:00,2012-12-08 22:05:00,0 days 10:46:00.000000000,VS43,LGW,London,United Kingdom,51.148102,-0.190278,LAS,Las Vegas,United States,36.08010101,-115.15200039999999,744,CC
Dec-2012,2012-12-13 00:57:00,2012-12-13 10:45:00,0 days 09:48:00.000000000,VS44,LAS,Las Vegas,United States,36.08010101,-115.15200039999999,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Dec-2012,2012-12-17 20:15:00,2012-12-18 04:12:00,0 days 07:57:00.000000000,VS17,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,346,CC
Dec-2012,2012-12-19 13:00:00,2012-12-19 20:32:00,0 days 07:32:00.000000000,VS18,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Dec-2012,2012-12-22 13:00:00,2012-12-22 22:20:00,0 days 09:20:00.000000000,VS15,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,744,CC
Dec-2012,2012-12-24 00:42:00,2012-12-24 08:45:00,0 days 08:03:00.000000000,VS16,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Dec-2012,2012-12-29 16:54:00,2012-12-30 00:51:00,0 days 07:57:00.000000000,VS9,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,346,CC
Dec-2012,2012-12-31 03:30:00,2012-12-31 10:28:00,0 days 06:58:00.000000000,VS10,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jan-2013,2013-01-10 21:05:00,2013-01-11 08:51:00,0 days 11:46:00.000000000,VS603,LHR,London,United Kingdom,51.4706,-0.461941,CPT,Cape Town,South Africa,-33.9648017883,18.6016998291,343,CC
Jan-2013,2013-01-12 20:35:00,2013-01-13 08:48:00,0 days 12:13:00.000000000,VS604,CPT,Cape Town,South Africa,-33.9648017883,18.6016998291,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
Jan-2013,2013-01-17 20:39:00,2013-01-18 07:26:00,0 days 10:47:00.000000000,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346,CC
Jan-2013,2013-01-19 19:40:00,2013-01-20 06:58:00,0 days 11:18:00.000000000,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jan-2013,2013-01-24 12:02:00,2013-01-24 21:59:00,0 days 09:57:00.000000000,VS63,LGW,London,United Kingdom,51.148102,-0.190278,HAV,Havana,Cuba,22.989200592041016,-82.40910339355469,744,CC
Jan-2013,2013-01-27 00:11:00,2013-01-27 08:02:00,0 days 07:51:00.000000000,VS64,HAV,Havana,Cuba,22.989200592041016,-82.40910339355469,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
